,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag,cluster,prob
1,3218826509427236736,88.44528484123474,0.2609684173772837,2.561378725509828,0.10335348377657616,2.2245508837442625,1.6036091,20.708302,1,0.9039134323620991
5,3218826513723663360,88.44243114891597,0.2612827256466578,1.0837405904629258,0.8538874083281034,-10.06847008713368,1.7446175,15.680859,1,0.9999301493103868
18,3218826788601567360,88.42278269792334,0.2837407198716338,1.816759685493521,-7.0231729845368935,3.1359047743542745,1.357564,14.008632999999998,1,0.9337232932455644
24,3218826853025526784,88.41892385036671,0.2921148469843908,0.6024352050144031,7.101239994546996,0.627356316777703,1.8375263,17.887749,1,0.9999075272248316
25,3218826853027818368,88.41291238266287,0.29175188594831425,2.9492281720804114,-0.6569099872252429,-2.2047622169345584,2.0352287,20.480295,1,0.9998351537030878
35,3218827372717097216,88.49590085786562,0.2881356589281512,1.7929380066617593,-7.790786321126242,13.157859590062444,1.7240113999999995,15.713629,1,0.7851638380002013
36,3218827372717097472,88.49599560799187,0.28738153649002435,1.7989996999599909,-7.897530466010764,13.113882516437766,1.5467787,14.817637,1,0.7888057330238144
51,3218827922472886400,88.54076017098845,0.3211758667391336,3.3578678565745754,-2.9183841727378934,-32.59085728419918,1.2348185,13.977259,1,1.0
64,3218828055615204864,88.45313749522367,0.2768753255069634,-1.4419390033537614,0.059727732644303234,-1.5468159558981285,0.94106674,20.634449,1,0.5610396911917739
66,3218828059910839168,88.45372686917862,0.2808253288258389,2.5854241127483344,-0.9673410323807836,-0.6635419566501497,3.616476,18.825762,1,0.966033622539684
69,3218828089978510464,88.46638317763855,0.286241681752334,3.4404439954545496,5.751619188850452,-16.168315353079837,2.1672382000000003,20.596111,1,1.0
71,3218828094271612416,88.46336081426905,0.2896487686485234,1.8403144917328416,-2.3061994830772456,-4.254501119476517,1.1877803999999998,12.607527,1,0.9951242258606672
74,3218828128630281856,88.48811726821756,0.29126427586853426,1.788895241461416,1.1879127068273914,-5.225948264350769,1.7186564999999998,20.670994,1,0.9381676507834162
75,3218828128631345920,88.47981379191927,0.2893409988536722,1.0597115259202807,13.484254295192175,-15.256436015707955,1.7467631999999995,16.213606,1,0.999999999999913
76,3218828158695587200,88.4941746767926,0.2971554446161829,1.6056228582674812,1.4986076177179355,-9.845970909567905,2.5646095,18.14589,1,0.9999822813233152
78,3218828193055328128,88.46848386346126,0.3027050985437358,0.15494438854908985,3.616678529502795,2.546465394183667,1.9471264,19.105696,1,0.5035123351595915
