source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
427594333968427136,10.834935926085684,0.15522082,61.84353345704066,0.16750853,0.23124569592137173,0.22209087,-1.2119902250567989,0.21161683,-1.0110431446701262,0.26356977,18.96907,2.4455166
427594333968435456,10.823154889364082,0.17003037,61.845694319962504,0.17639898,0.1577945649209234,0.24176027,-3.5220031965714966,0.2281095,-0.22909432844303554,0.25481793,19.25038,2.3129463
427594333968465920,10.829554141148703,0.15477504,61.85231669577478,0.16259126,0.19112606113204253,0.22373053,-3.121340608722306,0.21103731,0.152826165834683,0.24219166,19.109438,2.338541
427594338265752448,10.819081987052689,0.36255968,61.85668141588545,0.3901558,-0.5068947096622018,0.52040386,-1.1730640874164124,0.5144132,-0.7503069694533799,0.62451625,20.30514,2.3450565
427594338265753088,10.822945116119874,0.55562836,61.857129017328774,0.51552445,1.2615592019830153,0.74581844,-0.9404673996287296,0.83521545,0.6461171794339124,0.92750806,20.534073,
427594338266530944,10.825681207108017,0.3641062,61.85022645598905,0.40387827,0.8893039806297448,0.51760757,-2.806643487432777,0.5123386,-0.4204181062851313,0.6723835,20.29595,1.8400402
427594338266532992,10.834418860884835,0.3825151,61.84879267295527,0.47604027,-0.15768782315879581,0.5690501,-4.237764702183826,0.5422757,1.7778004977141437,0.7634381,20.368862,1.8767605
427594338269211648,10.81332269054723,0.28269926,61.85983228486724,0.29866013,-0.0631284138471534,0.41159967,-1.42031400874878,0.39494917,-1.51729951755007,0.4416196,19.923494,2.2588825
427594338269521920,10.813798123894388,2.1503696,61.85565638957359,2.4093633,,,,,,,21.005919,1.1626015
427594338272050944,10.81685687167871,0.20782106,61.84895477268714,0.20917182,1.6945621711379575,0.29881963,19.463496502597977,0.2717511,-2.075119586962389,0.30232918,19.499363,2.886261
427594368328195584,10.801896410717417,0.10234464,61.85011754622255,0.10930208,0.5646642577129595,0.14889511,-3.3187920614161763,0.13789856,-1.56554366983723,0.15817134,16.532866,1.7982903
427594368328200576,10.794222762971254,0.31217718,61.85186034284513,0.3413335,0.41431360007196305,0.4544624,-4.17729562591677,0.42529112,-4.247673377755626,0.4765952,20.047407,2.5186691
427594368328209024,10.787131777341033,0.24127747,61.853720975425574,0.2612795,0.8144949801695517,0.34726828,-3.2554220172462416,0.32801008,-0.26007914484357975,0.35044217,19.789194,2.1602402
427594368328230912,10.77793432477393,0.07960147,61.85767584709594,0.089871965,0.4050744664179812,0.114172824,0.7986816138203492,0.10591945,-0.9094235707918549,0.13618626,18.172249,1.953537
