source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
5717581243220634880,118.89016357878889,-17.84130004474066,0.32115917765495394,-2.2087500526178605,1.4815660113615516,18.397453,0.93831635
5717581346290080640,118.8968933438811,-17.83597010859139,1.3225600725640525,1.857741997416531,-3.3458652233873445,19.399826,2.6302013
5717581346294326656,118.8976595017915,-17.835399530419277,-0.3839014085321969,-0.2964683164434282,-0.03418230529768082,20.248146,1.5081902
5717581380659559936,118.90520473117148,-17.827538447418753,0.3157301806236738,-6.043807816883408,4.985235413301117,18.51493,1.4071751
5717586599038819584,118.8020301290906,-17.880302461567506,-0.15117938730224914,-1.0377407656805309,-0.3458843697017328,19.547039,0.8014679
5717586843853452672,118.76814098821167,-17.87350280729792,,,,21.072247,1.5648193
5717586770837788928,118.78427673218924,-17.880438867224246,0.2525148154388318,-3.0497040557750017,3.3239155661949162,20.535154,1.1212177
5717586775133973248,118.78290098700971,-17.879178587507454,,,,20.986568,1.3092175
5717586775138650496,118.78606521724701,-17.882160272181316,0.3260399535127418,-3.745789296429031,3.8042997743362945,17.74425,0.9731102
5717586805197245184,118.79291991455379,-17.881113023640044,,,,20.926743,0.550745
5717586805197252224,118.79548047202086,-17.876581206703225,-0.5015033233282066,-1.180629670219202,3.513966536448865,20.710442,0.89811516
5717586805197263104,118.7998470958511,-17.8739353630784,-0.016173431492641922,-2.6432882182954023,1.4171793317743853,18.848204,0.9508362
5717586805202652800,118.79120730557639,-17.87113036424254,0.4409633024116936,-4.251065094219198,-4.949674464778977,18.388252,1.5728798
5717586809488728320,118.80187247687192,-17.878746927502537,-0.31397176753951156,-1.0092760009984452,0.9988324551833602,19.198841,0.64182854
5717586809488738432,118.7922078566796,-17.869636473190756,0.20668914222294837,-1.4601631692957204,1.695865453684288,19.412718,1.014925
5717586809488753024,118.78616853039266,-17.875107492973147,0.7609843222941407,-6.0840037150526936,5.261083179866577,19.951544,0.81425095
5717586809493503232,118.79946930365347,-17.88010220906411,1.3987167670546692,-3.7529199264692896,-2.7931211442317716,20.889381,1.9558392
5717586809498367232,118.80062534469812,-17.871785415423,0.08034893463656763,-2.325588127334985,1.56983197082636,15.004939,1.3283234
5717586809498369664,118.80281809931034,-17.878804595940682,0.4610391955983775,-0.6269720296160284,-0.2803046852550527,18.031467,1.0736904
5717586809498371584,118.79495817034221,-17.869264329653063,0.2354804331398267,-1.7624086660581177,0.9452455013509324,15.983961,1.1756763
5717586809498375680,118.79432499218858,-17.873296531316274,0.2308616758965919,-1.289775233757767,1.9183028096486199,18.604952,0.9480057
5717586809498380160,118.78966189432445,-17.87372660407351,0.3861560961378688,-0.8526724865393881,5.54786031306719,18.64412,1.4761925
5717586809498383360,118.78702876253416,-17.874680707157804,0.3142450051001174,-3.756772909718894,1.8044220179590604,14.769451,0.4094944
5717586843852472832,118.77915991634966,-17.874758510866453,-0.5571348204838253,-1.31990693905649,3.621064585736507,20.073124,1.4005699
5717586843858129024,118.77871589334858,-17.873294680690723,0.6672676643008103,-4.829136952474559,3.6036853993664826,14.566821,0.7338915
5717586843858131456,118.7805078596107,-17.879458433842995,0.6392385903103759,-1.8652975957463835,1.795009580197104,19.317907,1.3428288
5717586843858134272,118.77332509214162,-17.872346603503264,0.5782830830153329,-0.1898406510233513,-1.6031399002128879,18.916412,2.0204887
5717586873916743168,118.78491411694094,-17.867942394912323,1.4215394425570513,-25.819367440599326,7.983586805838923,18.105518,2.1435776
5717586873917162240,118.78249027891552,-17.87172436300809,0.3159580903693459,-1.2738988544401646,0.427436309659436,20.11866,2.2059708
5717586878212982144,118.78477669725483,-17.872960510215197,,,,21.086353,1.1351337
5717586878217850368,118.79279913137934,-17.868466308921544,1.5475577853750249,-4.917303129347108,4.230761125914167,15.429589,1.2644329
5717586878217851392,118.78912310662454,-17.863852988455257,0.14642403470039167,-1.3331188093334485,2.3384175023452096,16.43436,0.5797539
5717586878217857536,118.78589893550041,-17.869327268310126,0.8989417627688286,-1.9574572545468354,-2.7187878778727486,17.963982,1.7177868
5717586878217858944,118.78685052422554,-17.872468846821537,0.14768717155578923,-3.3059838464544455,3.2133063806463573,19.194286,1.5014229
5717586878217864832,118.77883144684262,-17.870343539657387,-0.14761783112824947,-3.8827053681787254,0.8642435119606549,20.01413,1.4471836
5717587462328750848,118.73920763920042,-17.878916893102655,,,,20.968588,1.2465477
5717587427968347648,118.7023318013476,-17.865603600543793,1.1790507516422906,-4.894788681181896,1.8698592698244774,20.264751,1.8111343
5717587427969020800,118.69954991344459,-17.864245362797778,,,,21.175243,1.0766449
5717587492392009344,118.75474308917197,-17.882061715447943,1.296862995332951,0.38739004759576523,2.891195839172829,20.57486,1.2830276
5717587492392023296,118.75905553294311,-17.87395441483033,1.77171441826674,-1.7592892158688247,2.0639213923772206,20.632313,1.081068
5717587492392561664,118.75123441254449,-17.869509024719992,0.4507444101209949,-1.65283385422322,0.4345488753531961,20.348593,1.5359325
5717587492397214080,118.74553596307308,-17.880204588791234,0.9570884237531967,-3.8787767551937824,3.024406828225844,19.051958,1.9430408
5717587492401222016,118.75011899096364,-17.878712445810176,-0.5876888882714837,-3.63063004722926,-4.7270447705068035,18.769848,2.270214
5717587496683579264,118.74782186939278,-17.86988697071628,0.13016735495619108,-1.5102982000712757,-0.5155660975222605,20.513384,1.2992554
5717587496683586432,118.75014625125142,-17.877400171776383,-0.3735967264471005,-2.0460570307898918,1.266145712053203,19.865623,1.109745
