source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,g_rp
3218717692137625472,88.4686069265677,0.07829709768148749,-1.3350543687545602,-1.0166477148139685,-0.7690195402876906,20.551039,1.4405727,0.9841099
3218717692137661440,88.47280409598947,0.0812786993803928,0.6426594991628692,0.9983849395484947,-4.168254601558051,18.93849,1.6947079,0.88806343
3218717696432164224,88.47161675084881,0.08072758562647687,0.44372924778510886,0.9089063498427103,-3.104451870850596,16.79026,1.6274595,0.8567095
3218717726496811904,88.49240040499684,0.083748387656527,0.8791025588853603,0.6012420900829533,0.10378159442830602,19.07105,1.5540543,0.7672329
3218717726496817280,88.48648293286763,0.08494392847804413,-0.6103457804860775,2.0807879615425846,-3.244812832646241,17.876276,1.6696186,1.0582714
3218717795216281216,88.44908654487024,0.08049109790304339,-0.409459760420126,0.4663215029315603,-0.5810430473795459,19.633036,1.5726948,0.76340294
3218717795216840192,88.4500909907255,0.0771823810086302,-0.567035585755135,-0.6852362226601789,-3.266445108037631,20.199476,1.7538834,0.97605896
3218717799511380224,88.45270813430382,0.07752540736402812,0.16485253006107664,0.17476835248441552,-2.2236596566389006,16.862593,1.9043045,0.9636612
3218717863935314176,88.43484615235906,0.08156141186140423,0.1821819049950016,-0.3417406594785997,-0.7550784737496803,20.62194,1.5062904,0.9493675
3218717868230857216,88.43960867700713,0.08784467999005778,2.0255315844740114,-13.11384028954576,2.6072596432350905,14.895078,1.453043,0.79596424
3218717868230982400,88.43314899315477,0.08368956680881932,,,,20.779238,1.0195789,0.6680393
3218717898295513856,88.46188840207185,0.08824113637373725,0.1926452253143459,0.5129172616436111,1.5738571656710911,18.650858,1.5485725,0.8377056
3218717898296055936,88.45841979482763,0.07897506932133927,1.1251735295847674,5.776872584380365,-10.890919347896192,18.985615,2.6409855,1.1723785
3218717932655252608,88.47584029164979,0.08874594468430724,-0.17804295350041477,0.28400730311862693,-0.24585072130960894,19.474234,1.5188179,0.8306885
3218717932655806848,88.4744413293562,0.09905701242341576,0.1705469523647855,1.84963666978763,-3.5987755424638914,18.851675,1.5869827,0.8828869
3218717967017814400,88.4507463428841,0.08556644647381888,1.0491097290760671,0.4368508365547151,-0.5475141271162094,20.016996,1.5671082,0.74936867
3218717971310071936,88.45195644560913,0.0861464150045057,0.7052294001457963,-1.654710107207627,2.9328930171467444,14.942803,1.4366274,0.7881708
3218717971310182656,88.44988149473879,0.09441951456574099,2.114576488558363,-0.388028246771403,7.219712770721436,16.531345,2.0687284,1.0103769
3218718001374744448,88.46563578995531,0.0969068220319906,-0.1898220777237673,-1.4241257027016188,3.2590070739310297,19.647295,1.8178425,0.8563652
3218718001374752256,88.46931147471832,0.10040059439875103,-0.06744671925878085,0.624672657361345,-0.6010374312905284,17.499098,1.9461403,0.956583
3218718001374755712,88.4634056830583,0.10304336637445101,0.14405278244482855,0.07361365107887347,0.7238117319090103,19.297821,1.6197739,0.7902889
3218718001375279104,88.46293253778241,0.09499663631138751,-0.6605188548796879,-0.30957722523901515,0.1724348420386272,20.805685,1.914957,0.9003258
3218718001375282816,88.46364098335354,0.10079453842154011,0.37080009430875116,-1.2651135575293988,-0.6725921836157198,19.98841,1.8372478,0.9085045
3218718005668865920,88.4641080557165,0.1042113407538993,1.1346939628342065,-0.3616719965887018,-0.9668692545463217,20.56978,1.2457142,0.8620243
3218718005669808896,88.45862864948238,0.09871168733265882,3.5482951693330866,29.387295733284965,-15.392565533392878,15.922368,2.2323608,1.0670481
3218718005670275968,88.46460948870391,0.10565859393936576,0.6740863004390764,1.3638058548191674,2.6444466256589485,18.613384,1.6069126,1.1310825
3218718207533143808,88.40928171035473,0.08049095176699675,0.4155474196632968,-1.4762006579633447,1.26360449141812,16.836628,1.3856411,0.78767014
3218718688570049408,88.41149226723712,0.0998430486313704,,,,20.889505,1.7845383,0.84602547
3218718241892884480,88.38580423112049,0.08230130095651693,-0.5571450664696359,1.2066408886172715,-0.8205374847453377,19.456846,1.5780907,0.82857704
3218718241898798848,88.38325757915582,0.08229094384772431,0.8782003676144848,1.6376486401580015,3.0056299691383934,19.095385,1.6462498,1.0735989
3218718246187570048,88.3830507569725,0.0819588968575304,0.18912445528984378,0.009037835724690713,-1.2034215563495496,19.940739,,
3218718276252175872,88.38989007917394,0.08260202436131533,2.7407194745659647,1.398227061615877,0.2425482531631869,20.690145,1.6380768,0.7205906
3218718276252619776,88.40216917801615,0.08007397572695085,0.8998994940356869,-2.28533762883119,4.675134902260742,15.694209,1.4260855,0.7829304
3218718276252629120,88.39237345507533,0.08473913748862434,0.23606415714894521,3.999139316662729,-1.1525906547046727,18.11456,1.4628296,0.79372597
3218718688572290176,88.41048852473847,0.10064280748123604,,,,21.001842,,1.1837025
3218718413692135936,88.36055185391766,0.08579894776738947,0.02582100998877496,0.5755473887251975,-2.1489556130609593,19.49822,1.70677,0.87952995
3218718413692166272,88.35311281742186,0.09215841896353812,1.0471093647862908,4.255302414687833,0.985878195334176,18.638718,1.9844837,0.97268486
3218718448050868352,88.38353642117156,0.08355160650484954,1.4760186943032385,-0.006581539413793107,4.360177997445921,18.543074,2.3387966,1.0799084
3218718448051317760,88.37806238110502,0.08375280562345969,-0.9036797858786207,-2.3003311214973903,1.3771544942758636,19.67271,1.866724,0.93354607
3218718452346799488,88.37284544918136,0.08908466736775338,1.425094613281288,2.626328251225246,-5.951986063545218,19.282507,2.5150623,1.1956692
3218718482410609280,88.38858602553007,0.09135589400228517,0.12358188763063127,0.5580546941108323,-2.0934854974677743,20.220936,1.9799595,1.1092834
3218718482411081728,88.38667173655553,0.09738913259337267,-0.8912675339517784,-2.3039492908980983,-1.4963342928694603,19.989079,1.8212776,0.83787155
3218718516770802944,88.36065298099994,0.08772365725613664,-0.21643899123324525,-1.7277938079746984,-0.4459440485471721,19.06811,1.6718464,0.84817696
3218718516770812032,88.36582097490098,0.09604862430755015,0.9872211912833369,-0.4229549781890158,-0.06619924837083517,20.136734,1.7426605,1.0458221
3218718516770814592,88.35308036952088,0.09329830671636336,0.7998001130128376,4.110500629155314,1.0393266942097275,16.667036,1.6243162,0.8521757
3218718516770820224,88.35862989233695,0.09735648030303655,0.4281196410330569,-1.1256314122927247,-0.34331495316768573,20.012165,1.4297886,0.6756172
3218718521064341248,88.36577640424878,0.09393794446507948,-1.0534181499927382,0.03704557671084466,0.9249019958398641,20.641348,1.5784683,0.82811546
3218718521065480576,88.364362525879,0.08831777203979838,0.17174060494941423,1.0894817912908463,1.163991237091366,16.510313,1.8943052,0.96090984
3218718555425211648,88.37949205127323,0.10086660854650517,0.7221203136112666,-3.190749762038079,-4.910338086922605,18.191792,1.7470341,0.9053211
3218718585490270080,88.41357262581295,0.08355287474591708,-1.1424704047951164,0.09944644077800825,-0.43608517896442983,20.219418,1.6400986,0.9201069
3218718585490272768,88.41114461405917,0.08474374804312634,0.9944231200413627,-1.3385488542470936,-5.978891454033024,19.027506,2.473055,1.1080399
3218718585490825728,88.42307791057863,0.0837590911531936,,,,20.55952,1.6765308,0.8666973
3218718624145102080,88.4289902959101,0.0842604173110728,0.3113466149038043,-0.20445971909050967,0.9385492827792905,19.39892,1.6732197,0.9135208
3218718654209761024,88.40310094976452,0.089697669126008,0.6899120041703672,-0.5272040221843702,0.6743431371924515,18.508724,1.7128582,0.90145683
3218718654209773056,88.40790267415642,0.09405337320315935,0.3697065329891731,-1.8936913765249737,-0.8979086810627241,18.318676,1.7410755,0.9063282
3218718654210309504,88.40654924651787,0.09640489022427674,0.5876971613071756,-0.51227986256221,1.2974413309251662,18.906635,1.6301861,1.0482407
3218718658504840704,88.4155595556457,0.09319605480894497,0.5552981977950607,-2.6955027185880653,0.9060245038642735,15.024237,1.4562283,0.79893684
3218718658504841216,88.40730399563013,0.09498560066587405,1.081973551150873,1.7927161884258491,-5.053296560763768,18.869379,1.7336617,0.92259026
3218718658504950144,88.40924590355928,0.0993544308683219,1.2123159146563693,-6.370213740752021,6.276263617626273,16.738617,1.7536926,0.9063587
3218718688569208448,88.41961689996518,0.09536091264884218,1.7503748727339037,4.388755506516603,-0.9371280012777593,20.511364,1.5418472,0.9386139
3218718688569209472,88.42265483694645,0.10005412412222914,2.6124600149961137,-2.2275455953785226,-1.8653110807480575,19.511808,2.70924,1.3076134
3218718688569335296,88.41622016733206,0.10033701215011534,1.0815996550086786,-4.965065570873545,8.679123738079225,14.381558,1.4439259,0.7943001
3218718688569538560,88.41830380350297,0.11150779916463001,0.48834854914356257,0.4627764037307042,0.3879430381086082,16.389107,1.418953,0.7786865
3218718688572298368,88.42256932858845,0.10678721531404842,0.5578407914044499,-1.002398737916391,-1.3927054594969983,20.400028,2.3565884,1.5952644
3218718692863954176,88.41634410913719,0.09978650429077836,,,,20.835136,,
3218718692864577920,88.4208635388586,0.10585612925265085,0.29786938364259036,0.879466335619458,0.12014756747969306,12.569707,3.0669317,1.2600422
3218718722929247104,88.43844593268544,0.09519808485796404,0.40585791088008377,0.7509742179043961,0.32717095850093947,19.381939,1.3971481,0.7496033
3218718722929256320,88.44196891569158,0.09958242968839524,1.9291061244931054,-5.0408844551490235,-3.8210448305970512,17.053135,2.1286373,1.0410519
3218718722929790464,88.43574251944985,0.10450622134265984,0.04329571418332928,0.035857893401052235,0.4798471977970868,20.258522,1.3652,0.7608166
3218718727224782080,88.4398285593091,0.10516616094827624,3.7701101236993266,-15.085647632794341,8.718775301121456,16.028238,1.9460325,1.1135092
3218718757289005568,88.45090395565887,0.10629158484440983,0.24417520907073467,0.0767823183281541,-1.560993218023394,17.542955,1.8370495,0.9309864
3218718757289027456,88.44891264611593,0.11944232806661811,-1.7953214654212775,-0.10996545359223701,-1.535759882445302,20.53724,1.4848213,0.83026695
3218718791648109696,88.42882992908673,0.11343956402334697,3.2688601028272513,0.7995381101318582,0.9569214821258919,20.606936,1.2309742,0.8688202
3218718791648748288,88.4285976606612,0.10996971785580639,0.4463823125567801,-0.07225767105084838,2.1647219501965127,19.913242,1.6133747,0.8089428
3218718791654431872,88.42735980131474,0.1098556282734307,0.833959279965093,0.8049279658014449,1.9884188021291838,20.324078,2.3430328,1.0980682
3218718795943139840,88.42694795460523,0.10873892942601135,,,,20.905651,2.1056309,0.98104095
3218718795943791744,88.43039385288043,0.11909977958914775,0.8565541290634738,-0.13043962769539055,-3.808624414106583,17.854237,1.800642,0.9200573
3218718826008515712,88.43892019276035,0.12444710533450934,0.6323498308071952,-6.299272861738614,0.05560903605253493,17.210894,1.5280571,0.8224869
3218718860367901056,88.3924010643417,0.09926722648141512,,,,21.016418,1.3945446,1.1613579
3218718860368207360,88.39048702006923,0.0983786517200879,0.8369250467556495,-2.788029720437645,4.412454243228763,16.630194,1.5801764,0.8532057
3218718860368212096,88.39374051804592,0.10090251783610991,1.1333583369382072,0.047845263055008046,0.22346512744249,19.666119,1.3726463,0.7811451
3218718860368215040,88.38649662238136,0.10313690196318584,0.30406654189444704,-0.2386758598308199,-0.8968274626205407,18.64774,1.5590229,0.8162155
3218718860368215552,88.39642993907063,0.10375236749778079,-0.19150077704962343,1.0708951133275586,0.39949704813326314,20.353361,1.4191341,0.8735504
3218718860368224512,88.39580880093193,0.10863426142419101,0.5003060131485626,0.16842422518134934,2.445320336942107,16.780262,1.6504307,0.8709278
3218718860368769792,88.39647164510338,0.10764220415198128,1.659615264209406,-10.8793880730083,5.012102670413951,20.04256,2.3808975,1.2886143
3218718864661708288,88.3974076087713,0.09720611410285782,-0.2342809948588838,-1.9915968828858874,4.585298280189945,20.542109,2.3168888,1.2762642
3218718864661709696,88.39437173164818,0.09812864201614507,0.34083705727322,0.4285798186814348,-4.4479297214552656,19.716011,2.0228539,1.0746136
3218718894727974016,88.4056603907406,0.11487320059529155,1.2545065313636636,-1.6606533884636112,1.1494358403470124,19.153189,2.6040268,1.1551762
3218718929087699072,88.3900528882447,0.1074721904346833,0.921725242614587,-2.719839862531067,4.402663475536058,16.052315,1.64396,0.8716078
3218718929087699200,88.38328361666623,0.10784344331586371,2.0014044824341815,-2.533540785288239,2.384860683809978,17.813892,2.7156658,1.1862469
3218718929087708544,88.39306152669181,0.11328130876235588,0.48066504322998516,1.0507377702179141,0.18375381121246367,18.33093,1.861166,0.938776
