,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,g_rp,cluster,prob
1,3218826509426977024,88.44972154626906,0.264486813023334,0.17830091604947435,0.683321439611086,0.1499686027671543,20.303932,1.4734173000000002,0.8995323000000001,0,0.0017637650949706575
2,3218826509427236736,88.44528484123474,0.2609684173772837,2.5613787255098277,0.10335348377657616,2.2245508837442625,20.708302,1.6036091000000001,1.0597687,1,0.903913432362099
3,3218826509428129792,88.45974231378695,0.2627142179923417,1.0610817346299886,-2.7853843099922546,4.155017992952395,17.509043,2.092186,1.029274,0,0.002573047762742054
4,3218826509428130816,88.45586662088431,0.2662539781324032,0.6788996206018095,-3.0469303683110316,4.4270134035899105,19.159088,2.3128376,1.0969448,0,0.002838734910131461
5,3218826509428131456,88.44997165048567,0.2673875051988707,0.5581692164873034,0.3414123255606945,-1.9983315911125168,18.449185999999997,1.8153706000000003,0.92059517,0,0.0035604753933348478
6,3218826513723663360,88.44243114891597,0.2612827256466578,1.0837405904629258,0.8538874083281034,-10.06847008713368,15.680859,1.7446175,0.9031582,1,0.9999301493103868
8,3218826543787867648,88.43795479323855,0.26146268410670964,0.4623200503991469,0.75353950970901,-2.8177147179073594,17.193926,1.7620983000000001,0.91191864,0,0.004967030935848771
9,3218826543787868672,88.42453676973685,0.2650938344987074,0.4966517797725005,2.5988234082992454,-4.619087986505674,18.397087,2.1171646,1.0326861999999999,0,0.01756076911292055
10,3218826578147607296,88.43732216210822,0.2653149819444427,0.8348028597128074,-2.333179924147712,4.413597486215814,18.641459,2.4517784,1.1404724,0,0.0020929149350405285
11,3218826582443137536,88.43612608404719,0.2710028868827452,0.8640293640853436,-3.1317478050536733,4.443898007748282,15.452969,1.6047668,0.86001015,0,0.0025874944700075815
13,3218826715585407360,88.40006894004347,0.2656619540436964,0.2324560963476704,0.7746008730868267,-0.463495149733765,19.866196,1.4600582,0.7809658,0,0.0015375117457172604
15,3218826715586561280,88.39525332065061,0.2663453204358633,0.8963391008048309,-2.6737231182676617,4.3983771272055625,17.547076999999998,1.8730965,0.9420376,0,0.0019968562161431867
16,3218826719882103552,88.39502770456383,0.27130772246289303,0.8865174389869829,-2.7381533707373706,4.381703705486544,13.57332,1.8362044999999998,0.9377431999999999,0,0.001995340638837315
17,3218826749945145856,88.4239465389402,0.26822287146835033,-0.5440185020369621,-0.3491353582434686,-0.34491763199078096,20.309607,1.4540825000000002,0.86740685,0,0.010141510466195627
